Run,Model Type,Extracted Numbers
1,Fine-Tuned Model,"1,4,6,2,3,5"
2,Fine-Tuned Model,"3,5,2,6,4,1"
3,Fine-Tuned Model,"1,3,2,5,4,6"
4,Fine-Tuned Model,"3,6,2,5,4,1"
5,Fine-Tuned Model,"3,6,1,2,5,4"
6,Fine-Tuned Model,
7,Fine-Tuned Model,"4,2,6,1,3,5"
8,Fine-Tuned Model,"3,4,6,2,3,5"
9,Fine-Tuned Model,
10,Fine-Tuned Model,"4,3,6,2,5,1"
11,Fine-Tuned Model,"6,1,6"
12,Fine-Tuned Model,"5,2,3,6,1,4"
13,Fine-Tuned Model,"3,4,2,6,5,1"
14,Fine-Tuned Model,"3,1,2,6,4,5"
15,Fine-Tuned Model,"2,4,6,3,5,1"
16,Fine-Tuned Model,
17,Fine-Tuned Model,"2,6,5,4,3,1"
18,Fine-Tuned Model,"4,2,6,5,3,1"
19,Fine-Tuned Model,"1,2,3,4,5,6"
20,Fine-Tuned Model,"5,2,6,1,4,3"
21,Fine-Tuned Model,"1,2"
22,Fine-Tuned Model,"1,2,3,2,6,4"
23,Fine-Tuned Model,
24,Fine-Tuned Model,2
25,Fine-Tuned Model,"3,1,6,5,2,4"
26,Fine-Tuned Model,"1,5,2,3,6,4"
27,Fine-Tuned Model,"1,6,4,3,5,2"
28,Fine-Tuned Model,
29,Fine-Tuned Model,"1,4,5,3,2,6"
30,Fine-Tuned Model,
31,Fine-Tuned Model,"1,6,6"
32,Fine-Tuned Model,
33,Fine-Tuned Model,
34,Fine-Tuned Model,
35,Fine-Tuned Model,
36,Fine-Tuned Model,"4,2,6,1,3,5"
37,Fine-Tuned Model,"1,3,2,6,5,4"
38,Fine-Tuned Model,
39,Fine-Tuned Model,"1,2,4,1,5,2"
40,Fine-Tuned Model,"1,3,6"
41,Fine-Tuned Model,
42,Fine-Tuned Model,"1,6,1,2,5,3"
43,Fine-Tuned Model,"5,2,6,1,3,4"
44,Fine-Tuned Model,"3,1,6,2,5,4"
45,Fine-Tuned Model,"1,2,3,4,5,6"
46,Fine-Tuned Model,"5,3,2,6,1,4"
47,Fine-Tuned Model,
48,Fine-Tuned Model,"4,1,6,2,3"
49,Fine-Tuned Model,
50,Fine-Tuned Model,"4,2,6,1,5,3"
51,Fine-Tuned Model,
52,Fine-Tuned Model,"2,5,1,4,3,6"
53,Fine-Tuned Model,"6,1,6,1"
54,Fine-Tuned Model,"4,2,6,3,5,1"
55,Fine-Tuned Model,"2,6,3,4,5,1"
56,Fine-Tuned Model,"6,1,1"
57,Fine-Tuned Model,"5,3,1,6,2,4"
58,Fine-Tuned Model,"5,2,3,6,1,4"
59,Fine-Tuned Model,"4,2,3,6,1,5"
60,Fine-Tuned Model,"2,6,4,1,5,3"
61,Fine-Tuned Model,"1,4,2,6,5,3"
62,Fine-Tuned Model,"1,6,5,4,3,2"
63,Fine-Tuned Model,"2,6,3,1,5,4"
64,Fine-Tuned Model,"4,2,6,3,5,1"
65,Fine-Tuned Model,"4,3,2,6,1,5"
66,Fine-Tuned Model,"6,1"
67,Fine-Tuned Model,"4,2,3,5,1,6"
68,Fine-Tuned Model,"1,6,1,6,4,5"
69,Fine-Tuned Model,"1,6,6,1,3,2"
70,Fine-Tuned Model,
71,Fine-Tuned Model,"3,2,6,4,5,1"
72,Fine-Tuned Model,"5,2,6,3,5,1"
73,Fine-Tuned Model,
74,Fine-Tuned Model,"1,6,6,3,2,6"
75,Fine-Tuned Model,"3,6,2,5,4,1"
76,Fine-Tuned Model,"5,3,1,2,4,6"
77,Fine-Tuned Model,"4,2,5,6,1,3"
78,Fine-Tuned Model,"1,2,5,4,3,6"
79,Fine-Tuned Model,
80,Fine-Tuned Model,"4,2,6,1,3,5"
81,Fine-Tuned Model,
82,Fine-Tuned Model,"6,2,1,3,4,5"
83,Fine-Tuned Model,"3,2,5,6,4,1"
84,Fine-Tuned Model,"1,3,6,3,4,2"
85,Fine-Tuned Model,
86,Fine-Tuned Model,"1,3,4,2,5,6"
87,Fine-Tuned Model,
88,Fine-Tuned Model,
89,Fine-Tuned Model,"1,2,3,6,4,3"
90,Fine-Tuned Model,"2,5,4,1,3,6"
91,Fine-Tuned Model,"3,2,5,6,1,4"
92,Fine-Tuned Model,
93,Fine-Tuned Model,
